Female	Male	Female&&Male	Experimental_Series_II	Experimental_Series_III	Experimental_Series_IV	Experimental_Series_V	Grain_Yield[Mg/ha]	Type
capone	capone	capone	0	0	0	1	9.321850805	Line
capone	malemixlate	capone&&malemixlate	0	0	0	1	9.74133587	Hybrid
capone	tri5082	capone&&tri5082	0	0	0	1	8.508905746	Hybrid
capone	tri9326	capone&&tri9326	0	0	0	1	9.019742864	Hybrid
cargo	cargo	cargo	0	0	0	1	8.209638125	Line
caristern	caristern	caristern	0	0	0	1	8.832706073	Line
caristern	malemixearly	caristern&&malemixearly	0	0	0	1	9.336721575	Hybrid
centinel	centinel	centinel	0	0	0	1	8.839323313	Line
centinel	sur99820sur186	centinel&&sur99820sur186	0	0	0	1	9.482730855	Hybrid
cerealor	cerealor	cerealor	0	0	0	1	8.062970727	Line
cerealor	sur99820sur186	cerealor&&sur99820sur186	0	0	0	1	9.417540438	Hybrid
cf99007	cf99007	cf99007	0	0	0	1	8.105553806	Line
cf99007	tri10055	cf99007&&tri10055	0	0	0	1	8.893332519	Hybrid
cf99007	tri10476	cf99007&&tri10476	0	0	0	1	9.057212073	Hybrid
cf99007	tri11332	cf99007&&tri11332	0	0	0	1	8.666138614	Hybrid
cf99007	tri13066	cf99007&&tri13066	0	0	0	1	8.29917298	Hybrid
cf99007	tri13107	cf99007&&tri13107	0	0	0	1	8.757751835	Hybrid
cf99007	tri13326	cf99007&&tri13326	0	0	0	1	8.671504917	Hybrid
cf99007	tri14866	cf99007&&tri14866	0	0	0	1	8.755431007	Hybrid
cf99007	tri14937	cf99007&&tri14937	0	0	0	1	8.923178666	Hybrid
cf99007	tri16035	cf99007&&tri16035	0	0	0	1	9.18196325	Hybrid
cf99007	tri17722	cf99007&&tri17722	0	0	0	1	7.919413697	Hybrid
cf99007	tri17856iso	cf99007&&tri17856iso	0	0	0	1	8.660936408	Hybrid
cf99007	tri19545	cf99007&&tri19545	0	0	0	1	8.820564536	Hybrid
cf99007	tri21340	cf99007&&tri21340	0	0	0	1	8.823649903	Hybrid
cf99007	tri22150	cf99007&&tri22150	0	0	0	1	9.014857449	Hybrid
cf99007	tri23566	cf99007&&tri23566	0	0	0	1	8.556509451	Hybrid
cf99007	tri3395	cf99007&&tri3395	0	0	0	1	8.473165892	Hybrid
cf99007	tri7706	cf99007&&tri7706	0	0	0	1	9.060301364	Hybrid
cf99007	tri8050	cf99007&&tri8050	0	0	0	1	8.640242797	Hybrid
cf99007	tri8089	cf99007&&tri8089	0	0	0	1	8.884238665	Hybrid
cf99007	tri9806	cf99007&&tri9806	0	0	0	1	8.270412446	Hybrid
chambord	chambord	chambord	0	0	0	1	7.961057829	Line
chambord	malemixearly	chambord&&malemixearly	0	0	0	1	8.824597455	Hybrid
citr16686	citr16686	citr16686	0	0	0	1	8.338519523	Line
